link,status,host,participants,spots,HP,HPperspot,time,days
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6838e6d8500a16528b0e94de,Dead,Frankie The Weasal Episcopia,17.0,13.0,159712850.0,12285603.846153846,310120.0,3:14:08:40
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6838fad71d097ffde60bd6fb,Dead,Bombastic,16.0,14.0,172538676.0,12324191.142857144,342706.0,3:23:11:46
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6838a47e897477129b0e1076,Dead,HANDO,17.0,13.0,160897739.0,12376749.153846154,259257.0,3:00:00:57
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683896067c671b76ba0552d2,Dead,John Wick the Quick,17.0,13.0,161101526.0,12392425.076923076,340553.0,3:22:35:53
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683aefb81ab26e875f0d5e25,Dead,Glenn Peaky Blinders,15.0,15.0,188355085.0,12557005.666666666,318848.0,3:16:34:08
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6838921dd94a3c70ff09ecee,Dead,ACCOMPLICE,16.0,14.0,176087747.0,12577696.214285716,288428.0,3:08:07:08
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683a01317a007f778b02a29c,Dead,SDB NoUnderwearNoDiapers,16.0,14.0,176088572.0,12577755.142857144,323050.0,3:17:44:10
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683a2fd8428f5872ca032bee,Dead,Vittorio Mad Hacksaw Marangello,14.0,16.0,201396358.0,12587272.375,269730.0,3:02:55:30
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683af80f08a0e9757e0a90f6,Dead,Craig the Wrench,7.0,23.0,289679162.0,12594746.173913045,320938.0,3:17:08:58
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683b155fd105b7d58d0a940a,Dead,Desperado,23.0,7.0,88668479.0,12666925.57142857,339595.0,3:22:19:55
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683a30f726f33bc6a00e60ac,Dead,Lia Danger Capone,7.0,23.0,293145805.0,12745469.782608695,335278.0,3:21:07:58
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683aa0558c9c09d3de0689d5,Dead,Grendel,17.0,13.0,165857800.0,12758292.307692308,298524.0,3:10:55:24
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683b268cec38163d5e0dfacd,Dead,MAMA TROUBLE,17.0,13.0,167164479.0,12858806.076923076,171719.0,1:23:41:59
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6839b3a98915ebef880c94fd,Dead,Shaftoli The Tax man,15.0,15.0,192956821.0,12863788.066666666,237934.0,2:18:05:34
